epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.9703,4.41447,6.78587,4.35242,0,0,0,0,4.86538,5.10195,4.16551,0.00034,0.00034,0.00034
2,88.0912,3.4362,5.24264,4.00371,0,0,0,0,4.92228,5.09618,4.20925,0.0006307,0.0006307,0.0006307
3,127.093,3.07014,4.27761,3.46411,0,0,0,0,5.04837,4.83439,4.34611,0.00085012,0.00085012,0.00085012
4,165.435,2.66175,3.5072,3.03834,0,0,0,0,5.14196,4.78974,4.4806,0.00099826,0.00099826,0.00099826
5,205.568,2.46325,3.07281,2.68688,0,0,0,0,5.13203,4.91935,4.46387,0.00107512,0.00107512,0.00107512
6,236.705,2.42471,2.77041,2.58167,0,0,0,0,5.08762,4.95477,4.41964,0.00101,0.00101,0.00101
7,269.14,2.17882,2.5156,2.40605,0,0,0,0,5.04849,4.85607,4.37612,0.000812,0.000812,0.000812
8,307.823,2.14395,2.30527,2.33025,0.00059,0.06723,0.00039,0.00018,4.4974,4.73221,3.96659,0.000614,0.000614,0.000614
9,346.491,2.04051,2.14341,2.30465,0.71306,0.06723,0.11783,0.04817,2.90853,4.10053,3.09877,0.000416,0.000416,0.000416
10,387.523,2.01408,2.11341,2.24907,0.5973,0.46118,0.46397,0.19623,2.24561,2.6096,2.56897,0.000218,0.000218,0.000218
