epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.7696,4.73559,5.3335,4.23103,0,0,0,0,4.86155,5.09934,4.16147,0.00034,0.00034,0.00034
2,98.8825,3.67333,4.31794,3.9236,0,0,0,0,4.91197,5.07808,4.19956,0.0006874,0.0006874,0.0006874
3,148.619,3.06584,3.22672,3.34027,0,0,0,0,5.08604,4.81076,4.39724,0.00102184,0.00102184,0.00102184
4,198.966,2.65019,2.49095,2.74551,0,0,0,0,5.19451,4.65924,4.57826,0.00134332,0.00134332,0.00134332
5,241.525,2.43975,2.28838,2.48986,0,0,0,0,5.18826,4.91202,4.56924,0.00165184,0.00165184,0.00165184
6,285.38,2.34752,2.07097,2.35457,0,0,0,0,4.91198,4.75634,4.23179,0.00182,0.00182,0.00182
7,330.387,2.1911,1.87353,2.29186,0.45532,0.00765,0.01036,0.00208,4.52918,4.67306,3.99716,0.001784,0.001784,0.001784
8,377.232,2.12693,1.7049,2.18118,0.65768,0.11765,0.1915,0.07389,2.87716,3.67008,3.01221,0.001748,0.001748,0.001748
9,419.411,2.16403,1.61508,2.17609,0.76166,0.57143,0.64099,0.26806,2.25822,2.38303,2.47656,0.001712,0.001712,0.001712
10,462.007,2.10472,1.5765,2.13623,0.76061,0.63866,0.72293,0.33591,1.94245,1.91938,2.19846,0.001676,0.001676,0.001676
11,508.363,1.93038,1.44588,2.0239,0.85845,0.70588,0.85617,0.39396,1.85334,1.43752,2.14038,0.00164,0.00164,0.00164
12,554.547,1.86185,1.35014,1.96088,0.90716,0.82117,0.90879,0.44515,1.7273,1.28093,2.05416,0.001604,0.001604,0.001604
13,596.114,1.90554,1.41559,2.00223,0.89287,0.80672,0.89986,0.48601,1.66435,1.35094,2.00695,0.001568,0.001568,0.001568
14,638.843,1.72549,1.2266,1.85471,0.90432,0.79431,0.8931,0.46768,1.61239,1.41701,1.98894,0.001532,0.001532,0.001532
15,684.933,1.74048,1.19212,1.83673,0.94238,0.82458,0.92754,0.48759,1.66457,1.194,2.00673,0.001496,0.001496,0.001496
16,730.265,1.66311,1.14813,1.80309,0.88771,0.88235,0.92736,0.50324,1.49959,1.12539,1.88141,0.00146,0.00146,0.00146
17,772.393,1.7105,1.14645,1.81178,0.93483,0.84384,0.9277,0.51386,1.5686,1.07978,1.94848,0.001424,0.001424,0.001424
18,816.051,1.67401,1.11873,1.78808,0.87531,0.87395,0.92637,0.50515,1.62276,1.13009,1.90552,0.001388,0.001388,0.001388
19,862.625,1.66249,1.05907,1.74147,0.92522,0.85714,0.93062,0.51642,1.57711,1.03652,1.90693,0.001352,0.001352,0.001352
20,909.197,1.62341,1.06872,1.74199,0.95545,0.87395,0.94668,0.5403,1.46938,0.99985,1.82799,0.001316,0.001316,0.001316
21,951.035,1.57184,1.01437,1.71877,0.9455,0.87468,0.94078,0.49901,1.51565,1.0111,1.85924,0.00128,0.00128,0.00128
22,994.211,1.60019,1.01517,1.74718,0.95512,0.89417,0.96166,0.55494,1.47937,0.9354,1.82406,0.001244,0.001244,0.001244
23,1040.93,1.59025,0.97919,1.72996,0.96086,0.86555,0.94608,0.5686,1.38082,0.96192,1.75055,0.001208,0.001208,0.001208
24,1088.45,1.53443,0.94075,1.64364,0.95828,0.89076,0.94491,0.56445,1.39784,0.95234,1.80262,0.001172,0.001172,0.001172
25,1130.39,1.52567,0.91764,1.62524,0.95513,0.89076,0.9542,0.56519,1.41472,0.90469,1.75997,0.001136,0.001136,0.001136
26,1173.66,1.48298,0.88757,1.59565,0.98312,0.87395,0.94746,0.58105,1.36639,0.83245,1.73335,0.0011,0.0011,0.0011
27,1220.1,1.52931,0.93769,1.66046,0.98756,0.89076,0.95864,0.55755,1.45793,0.90278,1.76738,0.001064,0.001064,0.001064
28,1266.51,1.52183,0.8854,1.62061,0.96789,0.90756,0.95782,0.53904,1.50486,0.89553,1.81082,0.001028,0.001028,0.001028
